Produto,Preço,Marca
"Novacort Cetoconazol 20mg + Betametasona 0,64mg + Neomicina 2,5mg Pomada Dermatológica 30g","R$44,19",Novacort
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$54,19",Mestinon
"Candicort Cetoconazol 20mg + Betametasona 0,64mg Pomada 30g","R$42,39",Candicort
Pravastatina Sódica 10mg 30 Comprimidos Medley Genérico,"R$54,59",Medley
Bromoprida 4mg/Ml Solução Oral 20ml EMS Genérico,"R$8,45",Ems
Concerta 36mg 30 Comprimidos,"R$327,98",Concerta
Atenolol 25mg 30 Comprimidos EMS Genérico,"R$6,69",Ems
Proctyl 100mg + 27mg 15 Supositórios,"R$91,49",Proctyl
"Pulmicort Budesonida 0,25mg 20 Ampolas","R$190,99",Pulmicort
Mesacol Mesalazina 800mg 30 Comprimidos,"R$254,00",Mesacol
Betalor Besilato De Anlodipino 5mg + Atenolol 25mg 30 Cápsulas,"R$75,99",Betalor
Insulina NovoRapid FlexPen 100U/Ml Solução Injetável 1 Sistema De Aplicação De 3ml Geladeira,"R$53,59",Novorapid
Benicar Anlo Olmesartana Medoxomila 20mg + Besilato De Anlodipino 5mg 30 Comprimidos,"R$64,99",Benicar Anlo
Symbicort Turbuhaler Fumarato De Formoterol 12mcg + Budesonida 400mcg 60 Doses,"R$142,14",Symbicort Turbuhaler
Pantoprazol Sódico Sesqui-Hidratado 40mg Medley 28 Comprimidos - Genérico,"R$14,89",Medley
"Omcilon-A Orabase Triancinolona Acetonida 1,0mg/G Pomada 10g","R$26,49",Omcilon A
"Trok Cetoconazol 20mg + Dipropionato De Betametasona 0,64mg Creme 10g","R$18,99",Trok
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$63,99",Cetrolac
Lamitor CD Lamotrigina 25mg 30 Comprimidos,"R$40,59",Lamitor Cd
Concardio Hemifumarato De Bisoprolol 5mg 100 Comprimidos,"R$173,63",Concardio
Piascledine Persea Americana Mill. 200mg + Glycine Max (L.) Merr 100mg 30 Cápsulas,"R$275,82",Piascledine
Cebrilin Cloridrato De Paroxetina 30mg 30 Comprimidos,"R$218,98",Cebrilin
Frontal Alprazolam 2mg 30 Comprimidos,"R$188,99",Frontal
"Psorex Propionato De Clobetasol 0,5mg/G Creme 30g","R$49,95",Psorex
Lozan Cetoconazol 20mg/Mg Creme 30g,"R$9,12",Lozan
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$165,25",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$214,99",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$28,59",Roxflan
Miosan Cloridrato De Ciclobenzaprina 5mg 30 Comprimidos,"R$44,19",Miosan
Cebralat Cilostazol 50mg 60 Comprimidos,"R$41,79",Cebralat
Alivium Infantil 30mg/Ml Sabor Frutas Suspensão Oral 100ml,"R$65,98",Alivium
"Losartana Potássica 50mg + Hidroclorotiaziada 12,5mg 30 Comprimidos EMS Genérico","R$24,19",Ems
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$25,99",Bactrim
Sepurin Metenamina 120mg + Cloreto De Metiltionínio 20mg 20 Drágeas,"R$49,03",Sepurin
Oxcarbazepina 300mg 30 Comprimidos Medley Genérico,"R$26,85",Medley
Puran T4 Levotiroxina Sódica 112mcg 30 Comprimidos,"R$23,12",Puran T4
"Triancinolona Acetonida 1mg + Sulfato De Neomicina 2,5mg + Gramicidina 0,25mg + Nistatina 100000UI Creme Dermatológico 30g EMS Genérico","R$32,19",Ems
Azi Azitromicina 1000mg 1 Comprimido,"R$29,39",Azi
Eranz Cloridrato De Donepezila 10mg 28 Comprimidos,"R$43,59",Eranz
Aradois Losartana Potássica 100mg 60 Comprimidos,"R$809,03",Aradois
Vitanol-A Tretinoína 1mg/G Creme 30g,"R$178,99",Vitanol A
Secnidazol 1000mg 4 Comprimidos Medley Genérico,"R$69,39",Medley
Histamin Maleato De Dexclorfeniramina 2mg 20 Comprimidos,"R$27,09",Histamin
Otosporin Hidrocortisona 10mg + Sulfato De Neomicina 5mg + Sulfato De Polimixina B 10000UI Solução Otológica 10ml,"R$10,90",Otosporin
Ritalina LA Cloridrato De Metilfenidato 30mg 30 Cápsulas,"R$18,19",Ritalina
Aciclovir 50mg/G Creme Dermatológico 10g Aché Genérico,"R$327,62",Aché
Euthyrox Levotiroxina Sódica 125mcg 50 Comprimidos,"R$11,79",Euthyrox
Kaloba Pelargonium Sidoides 825mg/Ml Solução Oral 50ml,"R$53,59",Kaloba
Fentizol Nitrato De Fenticonazol 600mg Óvulo Vaginal + 1 Aplicador,"R$132,00",Fentizol
Cloridrato De Ambroxol 15mg/5ml Xarope 120ml EMS Genérico,"R$85,99",Cloridrato de Ambroxol
Amoxicilina 250mg/5ml Suspensão Oral 150ml Aché Genérico,"R$19,98",Aché
Zanidip Cloridrato De Lercanidipino 10mg 20 Comprimidos,"R$33,40",Zanidip
Sinvastacor Sinvastatina 10mg 30 Comprimidos,"R$94,49",Sinvastacor
"Psorex Propionato De Clobetasol 0,5mg/G Creme 30g","R$9,45",Psorex
Claritromicina 500mg 10 Comprimidos Medley Genérico,"R$49,95",Medley
Dipirona Monoidratada 500mg 30 Comprimidos Medley Genérico,"R$78,49",Dipirona Sodica
"Ginesse Gestodeno 0,075mg + Etinilestradiol 0,02mg 21 Comprimidos","R$13,19",Ginesse
Claritromicina 500mg 14 Comprimidos Medley Genérico,"R$40,59",Medley
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$32,47",Mestinon
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$101,99",Cetrolac
Press Plus Besilato De Anlodipino 5mg + Cloridrato Benazepril 20mg 60 Cápsulas,"R$54,19",Press Plus
Ramipril 5mg 60 Comprimidos Medley Genérico,"R$63,99",Medley
Cloridrato De Venlafaxina 75mg 30 Cápsulas Eurofarma Genérico,"R$195,90",Eurofarma
Norfloxacino 400mg 6 Comprimidos Medley Genérico,"R$100,00",Medley
Secnidazol 450mg Suspensão Oral 15ml EMS Genérico,"R$46,39",Ems
Cataflam Diclofenaco Potássico 50mg 20 Drágeas,"R$12,19",Cataflam
"Iruxol Colagenase 0,6U + Cloranfenicol 0,01g Pomada Dermatológica 15g","R$10,36",Iruxol
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$16,09",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$47,99",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$51,59",Roxflan
Brondilat Acebrofilina 25mg/5ml Xarope Infantil 120ml,"R$165,25",Brondilat
Omeprazol 40mg 7 Cápsulas Medley Genérico,"R$214,99",Medley
Tamiram Levofloxacino 500mg 3 Comprimidos,"R$28,59",Tamiram
Aldactone Espironolactona 25mg 30 Comprimidos,"R$42,59",Aldactone
"Avicis Alfaestradiol 0,25mg/Ml Solução Capilar 100ml","R$35,19",Avicis
Cloridrato De Terbinafina 250mg 28 Comprimidos Medley Genérico,"R$29,91",Medley
Vibramicina Cloridrato De Doxiciclina 100mg 20 Comprimidos,"R$126,99",Vibramicina
Teolong Teofilina 200mg 30 Cápsulas,"R$38,99",Teolong
Puran T4 Levotiroxina Sódica 175mcg 30 Comprimidos,"R$32,19",Puran T4
"Ceftriaxona Sódica IM 1g Pó Para Solução Injetável 1 Ampola De 3,5ml Eurofarma Genérico","R$30,19",Eurofarma
Bactrim F Sulfametoxazol 400mg + Trimetoprima 80mg Suspensão Oral 100ml,"R$49,39",Bactrim Forte
Milgamma Benfotiamina 150mg 30 Drágeas,"R$88,49",Milgamma
Atropina 1% Solução Oftálmica Estéril 5ml,"R$13,09",Atropina
"Trulicity 1,5mg/0,5ml Solução Injetável 2 Canetas - Geladeira","R$382,44",Trulicity
Daflon Diosmina 450mg + Hesperidina 50mg 60 Comprimidos,"R$184,98",Daflon
Cloridrato De Clindamicina 300mg 16 Cápsulas União Química Genérico,"R$35,39",União Química
"Candicort Cetoconazol 20mg + Betametasona 0,64mg Creme 30g","R$27,81",Candicort
Zinnat Axetilcefuroxima 250mg/5ml Pó Para Suspensão Oral 70ml + Copo Dosador + Seringa Dosadora,"R$164,47",Zinnat
Cloridrato De Sotalol 160mg 30 Comprimidos Merck Genérico,"R$37,79",Merck
Clavulin Bd Amoxicilina Tri-Hidratada 400mg + Clavulanato De Potássio 57mg Suspensão 70ml,"R$54,61",Clavulin Bd
Pyloripac Lansoprazol 30mg + Claritromicina 500mg + Amoxicilina 500mg 56 Cápsulas,"R$244,00",Pyloripac
Cloridrato De Propranolol 40mg 60 Comprimidos Germed Genérico,"R$12,89",Germed
Ceftriaxona Sódica 500mg Pó Para Solução Injetável 1 Ampola De 2ml Eurofarma Genérico,"R$18,98",Eurofarma
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$54,19",Mestinon
Topison Furoato De Mometasona 1mg/G Creme 20g,"R$54,99",Topison
Cicladol Piroxicam Betaciclodextrina 20mg 5 Comprimidos,"R$51,03",Cicladol
Actonel Chronos Risedronato Sódico 35mg 4 Comprimidos,"R$243,99",Actonel
Fluxon Cinarizina 75mg 30 Comprimidos,"R$18,79",Fluxon
Espironolactona 25mg 30 Comprimidos Eurofarma Genérico,"R$15,79",Eurofarma
"Celestone Betametasona 0,5mg 20 Comprimidos","R$22,89",Celestone
Dienogeste 2mg 30 Comprimidos Eurofarma Genérico,"R$48,59",Eurofarma
Cataflam Diclofenaco Potássico 50mg 20 Drágeas,"R$47,99",Cataflam
Lisador Dipirona 500mg + Adifenina 10mg + Prometazina 5mg 4 Comprimidos,"R$10,99",Lisador
Neuleptil Periciaznina 10mg 20 Comprimidos,"R$13,79",Neuleptil
"Atenolol 50mg + Clortalidona 12,5mg 30 Comprimidos EMS Genérico","R$16,49",Ems
Clortalidona 50mg 30 Comprimidos EMS Genérico,"R$19,59",Ems
"Dermacerium Sulfadiazina De Prata 1% + Nitrato Ceri 0,4% Creme 50g","R$88,49",Dermacerium
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$63,99",Cetrolac
Itraconazol 100mg 15 Cápsulas EMS Genérico,"R$60,99",Ems
Cloridrato De Sotalol 160mg 30 Comprimidos Sandoz Genérico,"R$33,58",Sandoz
Eudok Oxalato De Escitalopram 20mg 30 Comprimidos,"R$28,91",Eudok
Tadalafila 20mg 4 Comprimidos Prati Donaduzzi Genérico,"R$90,03",Prati Donaduzzi
Lamictal Lamotrigina 100mg 30 Comprimidos,"R$25,89",Lamictal Dispersivel
Colírio Mydriacyl 10mg/Ml Com 5ml,"R$217,42",Mydriacyl
Levoxin Levofloxacino 250mg 7 Comprimidos,"R$20,79",Levoxin
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$55,19",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$165,25",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$214,99",Roxflan
Furosemida 40mg 30 Comprimidos Aché Biosintética Genérico,"R$28,59",Aché
Azilect Mesilato De Rasagilina 1mg 30 Comprimidos,"R$13,79",Azilect
Caltren Nitrendipino 10mg 30 Comprimidos,"R$236,99",Caltren
Tuntá Cloridrato De Propafenona 300mg 30 Comprimidos,"R$80,99",Tunta
Andantol Gel 40g,"R$25,85",Andantol
Puran T4 Levotiroxina Sódica 150mcg 30 Comprimidos,"R$27,09",Puran T4
Atenolol 25mg 60 Comprimidos EMS Genérico,"R$9,59",Ems
"Losartana Potássica 50mg + Hidroclorotiaziada 12,5mg 30 Comprimidos EMS Genérico","R$24,19",Ems
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$25,99",Bactrim
Sepurin Metenamina 120mg + Cloreto De Metiltionínio 20mg 20 Drágeas,"R$49,03",Sepurin
Fluimucil D Acetilcisteína 600mg Granulado Sabor Laranja Solução Oral 16 Envelopes De 5g Cada,"R$80,48",Fluimucil D
Ibuprofeno 400mg 10 Comprimidos Neo Química Genérico,"R$26,06",Ibuprofeno
Nootropil Piracetam 800mg 30 Comprimidos,"R$46,99",Nootropil
Cloridrato De Metformina 850mg 30 Comprimidos Prati Donaduzzi Genérico,"R$6,36",Prati Donaduzzi
Osteoform Alendronato De Sódio 70mg 4 Comprimidos,"R$5,47",Osteoform
Ixium Imiquimode 50mg/G Creme Dermatológico 12 Sachês De 250mg Cada,"R$75,99",Ixium
Protetor Auditivo Nexcare Com 2 Pares,"R$194,27",Nexcare
Zinnat Axetilcefuroxima 250mg 14 Comprimidos,"R$13,59",Zinnat
Meclin Cloridrato De Meclizina 25mg 15 Comprimidos,"R$127,67",Meclin
Invega Sustenna Palmitato De Paliperidon 100mg Solução Injetável 1ml,"R$28,90",Invega
Digedrat Maleato De Trimebutina 200mg 20 Cápsulas,"R$2713,84",Digedrat
Hidroclorotiazida 25mg 30 Comprimidos Farmaco Prati Genérico,"R$92,49",Prati Donaduzzi
Zinnat Axetilcefuroxima 250mg/5ml Pó Para Suspensão Oral 50ml + Copo Dosador + Seringa Dosadora,"R$2,49",Zinnat
"Invega Sustenna Palmitato De Paliperidona 50mg Solução Injetável 0,5ml","R$122,15",Invega
"Invega Sustena Palmitato De Paliperidon 75mg Solução Injetável 0,75ml","R$1732,06",Invega
Piroxicam 20mg 10 Cápsulas EMS Genérico,"R$2246,88",Ems
Dual Cloridrato De Duloxetina 30mg 30 Cápsulas,"R$18,29",Dual
"Cetoconazol 20mg + Dipropionato De Betametasona 0,64mg + Sulfato De Neomicina 2,5mg Creme Dermatológico 30g EMS Genérico","R$63,59",Ems
Levoxin Levofloxacino Hemi-Hidratado 500mg 14 Comprimidos,"R$23,49",Levoxin
"Stalevo Levodopa 50mg + Carbidopa 12,5mg + Entacapona 200mg 30 Comprimidos","R$135,80",Stalevo
Ezetimiba 10mg 30 Comprimidos Althaia Genérico,"R$246,67",Althaia
Lamictal Lamotrigina 100mg 30 Comprimidos,"R$22,99",Lamictal Dispersivel
Manivasc Manidipino 20mcg 28 Comprimidos,"R$217,42",Manivasc
"Maleato De Dexclorfeniramina 0,4mg/Ml + Betametasona 0,05mg/Ml Xarope 120ml EMS Genérico","R$334,99",Ems
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$8,75",Mestinon
Noex Budesonida 50mcg Spray Nasal Aerossol 200 Doses,"R$54,19",Noex
Sonrisal Dupla Ação Limão 2 Comprimidos,"R$77,99",Sonrisal
Alopurinol 100mg 30 Comprimidos Farmaco Prati Genérico,"R$3,09",Prati Donaduzzi
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$12,09",Cetrolac
Plenance Rosuvastatina Cálcica 20mg 90 Comprimidos,"R$63,99",Plenance
Reconter Oxalato De Escitalopram 20mg 60 Comprimidos,"R$212,00",Reconter
Praiva Cloridrato De Moxifloxacino 400mg 5 Comprimidos,"R$206,99",Praiva
Secnidazol 1000mg 2 Comprimidos Sandoz Genérico,"R$157,98",Sandoz
Lisador Dipirona 500mg + Adifenina 10mg + Prometazina 5mg 16 Comprimidos,"R$15,79",Lisador
Concerta Cloridrato De Metilfenidato 18mg 30 Comprimidos,"R$46,14",Concerta
Cinarizina 75mg 30 Comprimidos Ranbaxy Genérico,"R$251,99",Ranbaxy
Mercilon Desogestrel 150mcg + Etinilestradiol 20mcg 21 Comprimidos,"R$17,49",Mercilon
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$41,65",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$165,25",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$214,99",Roxflan
Aciclovir 50mg/G Creme 10g Prati Donaduzzi Genérico,"R$28,59",Prati Donaduzzi
"Seki 35,4 Mg/Ml Sabor Coco Gotas Suspensão Oral 15mL","R$49,79",Seki
Maleato De Enalapril 20mg 30 Comprimidos EMS Genérico,"R$15,02",Ems
Baclon Baclofeno 10mg 20 Comprimidos,"R$12,93",Baclon
Acetato De Ciproterona + Etinilestradiol 21 Comprimidos Biosintética Genérico,"R$31,19",Biosintética
"Losartana Potássica 50mg + Hidroclorotiaziada 12,5mg 30 Comprimidos EMS Genérico","R$13,59",Ems
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$24,19",Bactrim
Sepurin Metenamina 120mg + Cloreto De Metiltionínio 20mg 20 Drágeas,"R$25,99",Sepurin
Sucrafilm Sucralfato 1g 30 Comprimidos,"R$49,03",Sucrafilm
"Omnic Ocas Cloridrato De Tansulosina 0,4mg 30 Comprimidos","R$74,99",Omnic
Lipistat Atorvastatina Cálcica 20mg 30 Comprimidos,"R$134,00",Lipistat
Algestona Acetofenida 150mg/Ml + Enantato De Estradiol 10mg/Ml 1 Ampola Cifarma Genérico,"R$89,99",Cifarma
Oxcarbazepina 600mg 60 Comprimidos Ranbaxy Genérico,"R$13,29",Ranbaxy
Natifa Estradiol 1mg 28 Comprimidos,"R$9,03",Natifa
Nimesulida 100mg 12 Comprimidos Neo Química Genérico,"R$123,99",Neo Química
Prostatal Serenoa Repens 160mg 30 Cápsulas,"R$55,79",Prostatal
Primid Primidona 250mg 20 Comprimidos,"R$19,29",Primid
Rohypnol Flunitrazepam 1mg 30 Comprimidos,"R$5,99",Rohypnol
Percof Levodropropizina 6mg/Ml Xarope 120ml + Copo De Medida,"R$156,99",Percof
"Somalium Bromazepam 2,5mg/Ml Solução Oral 20ml","R$41,39",Somalium
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$31,79",Mestinon
Symbicort Turbuhaler Fumarato De Formoterol 12mcg + Budesonida 400mcg 60 Doses,"R$43,19",Symbicort Turbuhaler
Tericin AT Cloridrato De Tetraciclina 100mg/4g + Anfotericina B 50mg/4g Creme Vaginal 45g + 10 Aplicadores,"R$25,29",Tericin At
"Cetoconazol 20mg/G + Dipropiona De Betametasona 0,5mg/G Pomada Dermatológica 30g Medley Genérico","R$54,19",Medley
Vitamina D Dprev Colecalciferol 50.000UI 4 Comprimidos,"R$142,14",Dprev
Mesacol Mesalazina 800mg 30 Comprimidos,"R$73,99",Mesacol
Torsilax Diclofenaco Sódico 50mg + Carisoprodol 125mg + Paracetamol 300mg + Cafeína 30mg 12 Comprimidos,"R$16,89",Torsilax
Mirtax Cloridrato De Ciclobenzaprina 10mg 15 Comprimidos,"R$63,67",Mirtax
Concerta Cloridrato De Metilfenidato 18mg 30 Comprimidos,"R$41,38",Concerta
"Trok Cetoconazol 20mg + Betametasona 0,5mg Pomada 30g","R$254,00",Trok
Cebrilin Cloridrato De Paroxetina 30mg 30 Comprimidos,"R$13,39",Cebrilin
Maleato De Enalapril 10mg 30 Comprimidos Teuto Genérico,"R$9,50",Teuto
Atenolol 25mg 30 Comprimidos Aché Biosintética Genérico,"R$18,83",Aché
"Trok-N Cetoconazol 20mg + Betametasona 0,5mg + Neomicina 1,5mg Pomada 30g","R$251,99",Trok-N
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$37,39",Cetrolac
Cortigen Acetato De Hidrocortisona 10mg/G Creme Dermatológico 20g,"R$218,98",Cortigen
"Kaloba Pelargonium Sidoides 111,111mg 21 Comprimidos","R$6,25",Kaloba
"Belarina Acetato De Clormadinona 2mg + Etinilestradiol 0,02mg 24 + 4 Comprimidos","R$2,55",Belarina
Amlovasc Besilato De Anlodipino 10mg 30 Comprimidos,"R$38,19",Amlovasc
Tadalafila 20mg 2 Comprimidos Prati Donaduzzi Genérico,"R$63,99",Prati Donaduzzi
"Tamsulon Cloridrato De Tansulosina 0,4mg 30 Cápsulas","R$26,70",Tamsulon
Predsim Fosfato Sódico De Prednisolona 3mg/Ml Solução Oral 60ml,"R$106,99",Predsim
Atlansil Cloridrato De Amiodarona 100mg 20 Comprimidos,"R$64,99",Atlansil
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$51,99",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$14,44",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$13,29",Roxflan
Cloridrato De Sotalol 160mg 20 Comprimidos Sandoz Genérico,"R$134,99",Sandoz
Neupro Rotigotina 8mg 28 Adesivos Transdérmicos,"R$35,99",Neupro
Keppra Levetiracetam 100mg/Ml Solução Oral 150ml,"R$24,19",Keppra
"Avicis Alfaestradiol 0,25mg/Ml Solução Capilar 100ml","R$165,25",Avicis
Vasogard Cilostazol 50mg 60 Comprimidos,"R$41,59",Vasogard
Artane Cloridrato De Triexifenidil 2mg 30 Comprimidos,"R$14,89",Artane
Myrbetric 50mg 30 Comprimidos,"R$280,74",Myrbetric
Daforin Cloridrato De Fluoxetina 20mg 30 Comprimidos,"R$90,49",Daforin
Monocordil Mononitrato De Isossorbida 20mg 30 Comprimidos,"R$19,59",Monocordil
"Florinefe Acetato De Fludrocortisona 0,1mg 100 Comprimidos","R$315,00",Florinefe
Sinvastacor Sinvastatina 10mg 30 Comprimidos,"R$9,45",Sinvastacor
Vitamina D Sany D Colecalciferol 2.000UI 30 Comprimidos,"R$61,23",Sany D
Ritalina LA Cloridrato De Metilfenidato 30mg 30 Cápsulas,"R$327,62",Ritalina
Vitamina D Sany D Colecalciferol 50.000UI 4 Comprimidos,"R$89,67",Sany D
Secnidazol 1000mg 4 Comprimidos Medley Genérico,"R$27,09",Medley
Cloridrato De Ciclobenzaprina 10mg 15 Comprimidos Revestidos EMS Genérico,"R$10,79",Ems
"Ablok Plus Atenolol 50mg + Clortalidona 12,5mg 30 Comprimidos","R$45,19",Ablok
Hemifumarato De Quetiapina 25mg 30 Comprimidos EMS Genérico,"R$18,79",Ems
Diovan HCT Valsartana 160mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$142,78",Diovan Hct
Cloridrato De Sibutramina Monoidratado 15mg 30 Cápsulas Eurofarma Genérico,"R$42,39",Eurofarma
Symbicort Turbuhaler Fumarato De Formoterol 200mcg + Budesonida 6mcg Pó Para Inalação 60 Doses,"R$90,06",Symbicort Turbuhaler
Cloridrato De Ciclobenzaprina 10mg 15 Comprimidos Revestidos Eurofarma Genérico,"R$16,69",Eurofarma
Lexotan Bromazepam 6mg 30 Comprimidos,"R$82,99",Lexotan
"Losartana Potássica 50mg + Hidroclorotiaziada 12,5mg 30 Comprimidos EMS Genérico","R$24,19",Ems
Bactrim Sulfametoxazol 200mg + Trimetoprima 40mg Suspensão Oral 100ml,"R$25,99",Bactrim
Sepurin Metenamina 120mg + Cloreto De Metiltionínio 20mg 20 Drágeas,"R$49,03",Sepurin
Amoxicilina Tri-Hidratada 500mg 21 Cápsulas EMS Genérico,"R$34,79",Ems
Tamiflu Fosfato De Oseltamivir 75mg 10 Cápsulas,"R$383,00",Tamiflu
Secnidazol 1000mg 2 Comprimidos Sandoz Genérico,"R$15,79",Sandoz
"Tamsulon Cloridrato De Tansulosina 0,4mg 30 Cápsulas","R$134,99",Tamsulon
Wellbutrin XL Cloridrato De Bupropiona 150mg 30 Comprimidos,"R$173,99",Wellbutrin
Norfloxacino 400mg 6 Comprimidos Medley Genérico,"R$12,19",Medley
"Atenolol 50mg + Clortalidona 12,5mg 30 Comprimidos EMS Genérico","R$10,36",Ems
Mesilato De Doxazosina 2mg 30 Comprimidos EMS Genérico,"R$16,49",Ems
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$21,49",Mestinon
Cetrolac Trometamol Cetorolaco 5mg/Ml Solução Oftálmica Estéril 5ml,"R$54,19",Cetrolac
Cloridrato De Propranolol 40mg 30 Comprimidos Pharlab Genérico,"R$63,99",Pharlab
Cetoconazol 200mg 30 Comprimidos Pharlab Genérico,"R$4,93",Pharlab
Reconter Oxalato De Escitalopram 10mg 60 Comprimidos,"R$65,79",Reconter
Orlistate 120mg 84 Cápsulas EMS Genérico,"R$91,99",Ems
Coglive Bromidrato De Galantamina 24mg 30 Cápsulas,"R$149,00",Coglive
Paracetamol 500mg + Fosfato De Codeína 30mg 24 Comprimidos Eurofarma Genérico,"R$126,63",Eurofarma
Diovan HCT Valsartana 320mg + Hidroclorotiazida 25mg 28 Comprimidos,"R$201,98",Diovan Hct
Imuran Azatioprina 50mg 50 Comprimidos,"R$36,79",Imuran
Roxflan Besilato De Anlodipino 5mg 30 Comprimidos,"R$165,25",Roxflan
Carbidol Carbidopa Monoidratada 25mg + Levodopa 250mg 30 Comprimidos,"R$214,99",Carbidol
Besilato De Anlodipino 10mg 30 Comprimidos Prati Donaduzzi Genérico,"R$28,59",Prati Donaduzzi
"Risperdal Risperidona 0,50mg 10 Comprimidos","R$18,45",Risperdal
Omeprazol 10mg 14 Cápsulas EMS Genérico,"R$12,49",Ems
Acetilcisteína 600mg Granulado Sabor Laranja 16 Envelopes Eurofarma Genérico,"R$51,59",Acetilcisteina
Bactroban Mupirocina 20mg/G Pomada 10g,"R$38,62",Bactroban
Nevralgex Dipirona Monoidratada 300mg + Cafeína 50 Mg + Citrato De Orfenadrina 35 Mg 30 Comprimidos,"R$16,39",Nevralgex
Brintellix Vortioxetina 10mg 30 Comprimidos,"R$382,86",Brintellix
Vytorin Ezetimiba 10mg + Sinvastatina 20mg 30 Comprimidos,"R$206,72",Vytorin
Antux Levodropropizina 6mg Xarope 120ml,"R$44,19",Antux
"Venzer HCT Candesartana Cilexetila 8mg + Hidroclorotiazida 12,5mg 30 Comprimidos","R$89,49",Venzer Hct
"Concor Hemifumarato De Bisoprolol 2,5mg 30 Comprimidos","R$69,19",Concor
Plenance Rosuvastatina Cálcica 10mg 90 Comprimidos,"R$110,48",Plenance
Mesilato De Doxazosina 2mg 30 Comprimidos Sandoz Genérico,"R$21,49",Sandoz
Keppra Levetiracetam 250mg 30 Comprimidos,"R$75,99",Keppra
Concor Hemifumarato De Bisoprolol 5mg 30 Comprimidos,"R$83,99",Concor
Aldomet Metildopa 250mg 30 Comprimidos,"R$43,19",Aldomet
Duomo Mesilato De Doxazosina 2mg 30 Comprimidos,"R$40,59",Duomo
"Arulatan Latanoprosta 50mcg/Ml Solução Oftálmica 2,5ml Geladeira","R$148,99",Arulatan
Dual Cloridrato De Duloxetina 60mg 30 Cápsulas,"R$135,89",Dual
"Drenison Fludroxicortida 0,125mg/G Creme Dermatológico 30g","R$118,99",Drenison
Vytorin Ezetimiba 10mg + Sinvastatina 10mg 30 Comprimidos,"R$41,39",Vytorin
Mestinon Piridostigmina 60mg 60 Comprimidos,"R$130,49",Mestinon
Hidroclorotiazida 25mg 30 Comprimidos Farmaco Prati Genérico,"R$54,19",Prati Donaduzzi
Depakote ER Divalproato De Sódio 500mg 30 Comprimidos,"R$2,49",Depakote Er
"Brometo De Ipratrópio 0,250mg/Ml Solução Para Inalação 20ml Farmaco Prati Genérico","R$126,70",Prati Donaduzzi
Hemifumarato De Quetiapina 200mg 30 Comprimidos Sandoz Genérico,"R$12,89",Sandoz
Zinnat Axetilcefuroxima 250mg 14 Comprimidos,"R$173,99",Zinnat
"Drenison Fludroxicortida 0,125mg/G Pomada Dermatológica 30g","R$127,67",Drenison
Alopurinol 100mg 30 Comprimidos Farmaco Prati Genérico,"R$41,59",Prati Donaduzzi
"Pisa Dicloridrato De Pramipexol 0,375mg 30 Comprimidos","R$12,09",Pisa
Besilato De Anlodipino 10mg 30 Comprimidos Prati Donaduzzi Genérico,"R$86,99",Prati Donaduzzi
Tadalafila 20mg 4 Comprimidos Prati Donaduzzi Genérico,"R$12,49",Prati Donaduzzi
Vitamina D Addera D3 7.000UI 4 Cápsulas,"R$25,89",Addera D3
Orlistate 120mg 84 Cápsulas Germed Genérico,"R$32,96",Germed
